Team,Medal
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
West Germany,NA
West Germany,NA
Slovenia,NA
Slovenia,NA
Italy,Silver
Czechoslovakia,Silver
Czech Republic,NA
Slovenia,NA
Croatia,Gold
Croatia,NA
Czechoslovakia,NA
Czechoslovakia,Bronze
Canada,NA
Canada,NA
Spain,NA
Spain,NA
Mexico,NA
Mexico,NA
Serbia and Montenegro,NA
Andorra,NA
Argentina,NA
Argentina,NA
Argentina,NA
Argentina,NA
Italy,NA
Italy,NA
Brazil,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Paraguay,NA
Spain,NA
Mexico,NA
Mexico,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Peru,NA
Peru,Silver
Italy,NA
Italy,NA
Soviet Union,Gold
Cuba,Bronze
Venezuela,NA
Italy,NA
Italy,NA
Austria,NA
Paraguay,NA
Paraguay,NA
Czech Republic,NA
Czech Republic-2,NA
United States,NA
United States,NA
United States,Gold
Turkey,NA
Denmark,NA
Turkey,NA
Belgium,NA
Belgium,NA
Belgium,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Georgia,Bronze
Georgia,NA
Georgia,NA
Georgia,NA
South Korea,NA
North Korea,NA
South Korea,Gold
South Korea,NA
South Korea,NA
North Korea,NA
North Korea,NA
South Korea,NA
South Korea,Silver
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
North Korea,NA
North Korea,NA
Morocco,NA
Morocco,NA
Belarus,NA
Belarus,NA
Algeria,NA
Tunisia,NA
Tunisia,NA
Zambia,NA
Brazil,NA
Russia-1,NA
Russia-1,NA
Algeria,NA
France,NA
Switzerland,NA
Poland,NA
Zambia,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Switzerland,NA
Ecuador,NA
Ecuador,NA
Georgia,Bronze
Georgia,NA
Cuba,NA
Puerto Rico,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Venezuela,NA
Venezuela,NA
Costa Rica,NA
Costa Rica,NA
Argentina,Bronze
Algeria,NA
Algeria,NA
Algeria,NA
New Zealand,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,Gold
South Korea,Silver
South Korea,NA
South Korea,NA
South Korea,Silver
South Korea,NA
United States,NA
Australia,NA
Australia,NA
Uzbekistan,NA
Uzbekistan,NA
Mongolia,NA
Tunisia,NA
Iran,NA
China-2,NA
China-2,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Portugal,NA
Thailand,NA
Thailand,NA
Israel,NA
Israel-1,NA
Israel-1,NA
Kenya,NA
Bulgaria,NA
Russia,Gold
Georgia,NA
Armenia,NA
Australia,NA
Australia,NA
India,NA
Tunisia,NA
Russia,Gold
Ecuador,NA
Ecuador,NA
Ecuador,NA
Ecuador,NA
Ecuador,NA
Ecuador,NA
Ethiopia,NA
Great Britain,NA
Canada,NA
Canada,NA
Canada,NA
Canada,Bronze
Canada,NA
Canada,NA
Australia,Gold
Australia,Bronze
Australia,Bronze
Czechoslovakia,NA
Czechoslovakia,Silver
Czechoslovakia,NA
Czechoslovakia,Silver
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
Czech Republic,NA
United States,Gold
South Africa,NA
Russia,NA
Azerbaijan,NA
Azerbaijan,NA
France,NA
Zambia,NA
Czechoslovakia,NA
Iran,NA
Mozambique,NA
Mozambique,NA
France,NA
South Africa,NA
Canada,NA
Canada,Gold
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,Silver
Great Britain,NA
Jamaica,NA
Jamaica,NA
Great Britain,NA
Great Britain,Silver
Great Britain,NA
France,NA
Zambia,NA
France,NA
Italy,Bronze
United States,NA
United States,NA
United States,NA
United States,Bronze
Israel,NA
Tunisia,NA
Switzerland,NA
Switzerland,NA
Ireland,NA
Brazil,NA
Argentina,Silver
Lebanon,NA
Lebanon,NA
Bulgaria,NA
Czechoslovakia,NA
Hong Kong-1,NA
Malaysia,NA
Malaysia-1,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Canada,Bronze
Canada,NA
Chinese Taipei,NA
Hong Kong,NA
Philippines,NA
Papua New Guinea,NA
Singapore,NA
Singapore,NA
Hong Kong,NA
Hong Kong,NA
Singapore,NA
Papua New Guinea,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Canada,NA
Canada,Silver
Canada,Silver
Malaysia,NA
Malaysia,Silver
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Cambodia,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Chinese Taipei,NA
Hong Kong,NA
Hong Kong,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Iraq,NA
India,NA
India,NA
India,NA
India,NA
Fiji,NA
Malawi,NA
Panama,NA
India,NA
India,NA
India,NA
United States,NA
Australia,Bronze
United States,Gold
Indonesia,NA
Indonesia-2,NA
Indonesia,NA
France,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Silver
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
South Korea,Gold
South Korea,Gold
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
United States,NA
United States,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,Silver
North Korea,NA
North Korea,NA
North Korea,NA
North Korea,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Silver
Chinese Taipei,Silver
South Korea-2,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,Silver
Bahrain,NA
Thailand,NA
Thailand,NA
Thailand,NA
Thailand,NA
Thailand,NA
Thailand,NA
Sri Lanka,NA
Sri Lanka,NA
Sri Lanka,NA
Zambia,NA
Switzerland,NA
Laos,NA
Thailand,NA
Thailand,NA
Thailand,NA
Canada,NA
Canada,NA
Chinese Taipei,NA
China,NA
Argentina,NA
China,Silver
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Paraguay,NA
Paraguay,NA
Spain,NA
Argentina,NA
Argentina,NA
Argentina,NA
Paraguay,NA
Paraguay,NA
France,Bronze
United States,NA
Australia,NA
Australia,NA
Great Britain,NA
United States,NA
United States,NA
Canada,Bronze
Canada,NA
Canada,Bronze
Australia,NA
Australia,NA
Australia,NA
Great Britain,NA
Great Britain,NA
Australia,NA
Australia,NA
Australia,Silver
Great Britain,NA
Australia,Bronze
France,NA
Mexico,NA
Mexico,NA
Spain,NA
France,Gold
Slovakia,NA
Slovakia,NA
Slovakia,NA
Argentina,NA
Argentina,NA
Argentina,NA
France,NA
Canada,NA
France,NA
France,Bronze
France,Bronze
France,Silver
France,NA
France,Bronze
Canada,NA
Canada,NA
Canada,Silver
Canada,NA
Canada,NA
Canada,Bronze
Canada,NA
Canada,Bronze
Slovakia,NA
Slovakia,NA
Slovakia,NA
Slovakia,NA
Saint Lucia,NA
Antigua and Barbuda,NA
United States,Bronze
Great Britain,NA
Costa Rica,NA
Dominican Republic,NA
Ireland,NA
Ireland,NA
Ireland,NA
Ireland,NA
Great Britain,NA
Great Britain,Gold
Antigua and Barbuda,NA
Antigua and Barbuda,NA
Canada,NA
United States,Gold
United States,Gold
Cuba,Gold
United States Virgin Islands,NA
Australia,NA
Australia,NA
Great Britain,NA
United States,NA
France,NA
Belgium,NA
Belgium,NA
Belgium,Silver
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Canada,NA
Canada,NA
New Zealand,NA
New Zealand,NA
Djibouti,NA
Tunisia,NA
Tunisia,NA
Thailand,NA
Thailand,NA
Cuba,NA
Switzerland,NA
Switzerland,NA
Cuba,NA
Australia,NA
Canada,NA
Canada,Gold
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
Czechoslovakia,Bronze
Czechoslovakia,NA
Czechoslovakia,NA
Nicaragua,NA
Nicaragua,NA
Poland,NA
Barbados,NA
Canada,NA
Zimbabwe,Gold
Barbados,NA
Barbados,NA
Canada,NA
Russia,Silver
Uzbekistan,NA
Cyprus,NA
France,NA
France,NA
France,NA
United States,Gold
United States,Silver
United States,Gold
Great Britain,NA
Great Britain,NA
Great Britain,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France-1,NA
Tunisia,NA
Tunisia,NA
Australia,NA
Chinese Taipei,NA
Hong Kong,NA
Australia,NA
France,NA
India,NA
India,NA
India,NA
South Africa,NA
France,NA
France,NA
Russia,NA
Bulgaria,NA
France,NA
France,Gold
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Costa Rica,NA
Belize,NA
Belize,NA
Belize,NA
France,NA
Colombia,NA
Spain,Silver
Brazil,NA
Portugal,NA
Portugal,NA
Mexico,NA
Philippines,NA
Mexico,NA
Peru,NA
Mexico,Gold
Spain,NA
Honduras,NA
Ecuador,NA
Argentina,NA
Australia,NA
Argentina,NA
Costa Rica,NA
Mexico,NA
Bolivia,NA
Philippines,NA
Argentina,NA
France,NA
Russia,NA
India,NA
Singapore,NA
Singapore,NA
Singapore,NA
Singapore,NA
Soviet Union,Silver
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Morocco,NA
Malaysia,NA
China,NA
South Korea,NA
Hong Kong,NA
Malaysia-1,NA
Malaysia-1,Silver
Malaysia-1,NA
New Zealand,NA
New Zealand,NA
Ukraine,NA
Ukraine,NA
Ukraine,Bronze
Ukraine,NA
Ukraine,Gold
Ukraine,Gold
Tunisia,NA
Tunisia,NA
Kenya,NA
Kenya,NA
Russia,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Russia,NA
Spain,NA
Spain,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Soviet Union,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,Gold
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,Bronze
Italy,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Cameroon,NA
Tunisia,NA
Mexico,NA
Mexico,NA
Mexico,NA
Mexico,NA
United States,NA
United States,Bronze
United States,NA
United States,Gold
United States,Silver
United States,NA
United States,Silver
United States,Gold
United States,Gold
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
United States,Bronze
Trinidad and Tobago,NA
Trinidad and Tobago,NA
Australia,NA
Australia,NA
Uzbekistan,NA
Morocco,NA
Morocco,NA
Morocco,NA
Tunisia,NA
Tunisia,NA
Tunisia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
France,NA
Belarus,NA
Tunisia,NA
Uganda,NA
Uganda,NA
Argentina,NA
Argentina,NA
Argentina,NA
Argentina-2,NA
Kenya,NA
Romania,Silver
Romania,Bronze
Romania,Silver
Romania,NA
Romania,Silver
Romania,Bronze
Romania,NA
Romania,NA
Soviet Union,Bronze
United States,Silver
Kenya,Silver
Bahrain,NA
United States,NA
United States,NA
United States,Silver
United States,NA
Ukraine,NA
Russia,NA
Russia,NA
Russia,NA
Kenya,NA
Russia,Gold
Russia,Bronze
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Morocco,NA
Israel,NA
Kenya,NA
Uganda,NA
China,Gold
China,Gold
China,NA
China,NA
China,NA
Chinese Taipei,NA
China,NA
China,NA
Chinese Taipei,Silver
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei-1,NA
Chinese Taipei,NA
Chinese Taipei-1,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei-2,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei-2,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,Bronze
China,Gold
China,NA
China,NA
China,NA
China,NA
Singapore,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,Silver
China,NA
China-1,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,Bronze
China,NA
China,NA
China,NA
China,Gold
China,Silver
Chinese Taipei,Silver
Chinese Taipei-2,NA
Chinese Taipei,Bronze
Chinese Taipei-2,NA
China,NA
China,NA
China,NA
China,NA
China,Gold
China,NA
China,NA
China,NA
China-1,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Bronze
China,NA
China-1,NA
China,NA
China,Silver
China,Bronze
China,Gold
China,NA
China-1,Gold
China,NA
China,Bronze
China,Bronze
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
China,Silver
China,NA
China-1,Gold
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China-1,NA
China-1,NA
China-1,NA
China,NA
China,Silver
China,NA
China,NA
China,Gold
China,Gold
China,Gold
China,Gold
China,Gold
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Gold
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Silver
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,Silver
Chinese Taipei,NA
Chinese Taipei,Bronze
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,Gold
Austria,NA
Austria,NA
Austria,NA
Austria,NA
Austria,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Australia,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,Silver
China,NA
China,NA
China,Gold
China,NA
China,Gold
China-1,NA
China,NA
Great Britain,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,Bronze
China,NA
China,NA
China,NA
China,NA
China,Gold
China,Gold
China,NA
China,NA
China,Gold
China,NA
China,NA
China,NA
China,Gold
China,NA
China,Gold
China,NA
China,Silver
China,NA
China,NA
China,NA
China-1,NA
China,NA
China,Gold
China,Silver
China,NA
China,NA
China,NA
China,NA
China,Bronze
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,Bronze
China,Gold
United States,NA
China,Silver
China,NA
China,NA
China,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,NA
China,Silver
China,Bronze
China,NA
China,NA
China,NA
China,Gold
China,Gold
China,NA
China,NA
China,NA
China-1,Silver
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
Chinese Taipei,NA
India,NA
France,NA
France,NA
France,NA
France,Silver
Australia,Silver
United States,Gold
United States,Gold
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Singapore,NA
Singapore,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,NA
China,Gold
China,NA
China,Bronze
China,Bronze
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,Silver
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
China,NA
China,Silver
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
China,NA
China,NA
China,NA
China,Bronze
United States,NA
United States-1,NA
Thailand,Bronze
Tunisia,NA
Kazakhstan,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
South Korea,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,Silver
New Zealand,NA
New Zealand,NA
Russia,NA
Russia,Gold
Russia,NA
Russia,Gold
Russia,Silver
Russia,Bronze
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,Silver
Russia,NA
Russia,Gold
Kenya,NA
Kenya,NA
Kenya,Bronze
Russia,NA
Russia,Silver
Russia,NA
Russia,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Belarus,NA
Russia,NA
Soviet Union,Bronze
Soviet Union,NA
Soviet Union,Gold
Unified Team,NA
Unified Team,NA
Unified Team,Silver
Russia,Gold
Russia,NA
Russia,Silver
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,Silver
Kenya,NA
Uganda,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Uganda,NA
Uganda,NA
Russia,NA
Moldova,NA
Grenada,NA
Romania,NA
Romania,NA
Romania,NA
Romania,NA
Soviet Union,Silver
Unified Team,NA
Soviet Union,Gold
Soviet Union,Bronze
Soviet Union,Silver
Russia,NA
Russia,NA
Russia,NA
Russia,Gold
Soviet Union,Bronze
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Ukraine,NA
Ukraine,NA
Ukraine,Bronze
Belarus,NA
Belarus,NA
Kyrgyzstan,NA
Russia,NA
Russia,NA
Russia,NA
Russia,Silver
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,Bronze
Belarus,NA
Belarus,NA
Belarus,NA
Tunisia,NA
Tunisia,NA
Algeria,NA
Algeria,NA
United States,NA
United States,NA
United States,NA
Belarus,NA
Belarus,Bronze
Soviet Union,NA
Unified Team,NA
Soviet Union,NA
Unified Team,Bronze
Russia,NA
Ukraine,NA
Soviet Union-2,Silver
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Russia,NA
Soviet Union,Bronze
Unified Team,NA
Ethiopia,NA
Russia,Bronze
Russia,NA
Russia,NA
Russia,Gold
Costa Rica,NA
Costa Rica,NA
Uzbekistan,NA
Ukraine,NA
Ukraine,NA
Soviet Union,NA
Soviet Union,Gold
Russia,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Ukraine,NA
Ukraine,Silver
Ukraine-2,NA
Kyrgyzstan,NA
Canada,NA
Russia,NA
Ukraine,NA
Morocco,NA
Russia,Bronze
Russia,NA
Kazakhstan,NA
Belarus,NA
Russia,NA
Russia,NA
Russia,NA
Soviet Union,NA
Soviet Union,Gold
Russia,NA
Russia,NA
Russia,Bronze
Russia,Bronze
Ukraine,NA
Kazakhstan,NA
Kazakhstan,NA
Russia,NA
Belarus,NA
Belarus,NA
Soviet Union,NA
Soviet Union,NA
Soviet Union,Gold
Russia,NA
Russia,NA
Kazakhstan,NA
Soviet Union,Gold
Soviet Union,Silver
Soviet Union,Gold
Bahrain,NA
United States,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Morocco,NA
Morocco,NA
Myanmar,NA
United States,NA
Australia,Gold
Mauritius,NA
United States,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,NA
Kenya,Silver
Kenya,Bronze
Kenya,Gold
Kenya,Silver
Bahrain,NA
Soviet Union,NA
Bulgaria,Silver
Australia,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Kazakhstan,NA
Soviet Union,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Ukraine,NA
Uzbekistan,Gold
Uzbekistan,NA
Uganda,NA
Italy,NA
Kenya,NA
Kenya,NA
Kenya,NA
Ireland,NA
Ireland,NA
Ireland,NA
Ireland,NA
Soviet Union,NA
Unified Team,NA
Russia,NA
Canada,NA
Canada,NA
United States,Silver
Australia,NA
Australia,NA
Armenia,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
Malta,NA
Libya,NA
India,NA
Romania-1,NA
Romania-1,NA
India,Gold
South Africa,NA
South Africa,NA
Hong Kong,NA
Hong Kong,NA
Netherlands,Silver
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Australia,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong-1,NA
Hong Kong,NA
Hong Kong,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
France,NA
Switzerland-1,NA
France,NA
France,NA
Calimucho,NA
Canada,NA
Canada,NA
Canada,NA
Canada,NA
France,NA
Malaysia-1,NA
Malaysia,NA
United States,NA
United States,NA
Canada,NA
Canada,NA
Kenya,NA
Kenya,NA
Bhutan,NA
Hong Kong,NA
Hong Kong,NA
Chinese Taipei,NA
China,NA
China-1,NA
Chinese Taipei,Bronze
Chinese Taipei,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
Malaysia,NA
United States,NA
United States,Bronze
Italy,NA
Italy,Silver
Brazil,NA
Brazil,NA
Italy-2,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,Silver
Chinese Taipei,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Hong Kong,NA
Thailand,NA
Italy,NA
Italy,Silver
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Italy,NA
Belgium,NA
Uruguay,NA
Uruguay,NA
Brazil,NA
Italy,NA
Italy,NA
Italy,NA
Argentina,NA
Argentina,NA
Italy,NA
Italy,NA
Italy,NA
Peru,NA
Peru,NA
Peru,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Japan,NA
Brazil,NA
Zimbabwe,NA
Algeria,NA
Russia,NA
Ghana,NA
Zambia,NA
Zambia,NA
Zambia,NA
Brazil,Silver
Russia,NA
Russia,Bronze
Russia,Gold
Iran,NA
Iran,NA
Zimbabwe,Gold
Puerto Rico,NA
Brazil,NA
Brazil,NA
Romania,Bronze
Romania,NA
Romania,NA
Japan,NA
Japan,NA
Japan,Silver
Botswana,NA
Italy,NA
Italy,NA
Italy,NA
Nigeria,NA
Nigeria,NA
Nigeria,NA
Italy,Bronze
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Chinese Taipei,NA
Federated States of Micronesia,NA
Refugee Olympic Athletes,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Brazil,NA
Italy,NA
Italy,Silver
Romania,Bronze
Italy,NA
Italy,NA
Russia,Gold
Russia,NA
Russia,Silver
France,NA
Chinese Taipei,NA
Chinese Taipei-1,NA
Chinese Taipei-1,NA
Japan,NA
Peru,NA
Peru,NA
Zambia,NA
Russia,NA
Unified Team,NA
Unified Team,NA
Kazakhstan,NA
Kazakhstan,NA
Russia,NA
Japan,NA
Japan,NA
Japan,NA
Malawi,NA
Malawi,NA
Zambia,NA
Nigeria,NA
Ecuador,NA
France-1,NA
France,NA
France-1,NA
France-1,Bronze
France,NA
France,NA
Canada-1,Bronze
Canada-1,NA
Canada,NA
New Zealand,NA
New Zealand,NA
New Zealand,NA
Great Britain,NA
Great Britain,NA
Great Britain,NA
Great Britain,Bronze
Great Britain,NA
Great Britain,NA
Great Britain,NA
Ecuador,NA
United States,NA
Romania,NA
Poland,NA
Spain,NA
